Rank,Athlete,Sports,Team,,Nationality,Salary,Endorsements,Total
85,Chris Lindstrom,🏈,Atlanta Falcons,,American,$35.7M,$100K,$35.8M
86,Dustin Johnson,🏌️‍♂️,,,American,$29.7M,$6M,$35.7M
87,Khris Middleton,🏀,Milwaukee Bucks,,American,$33.8M,$1.5M,$35.3M
88,Kevin De Bruyne,⚽,Manchester City,,British,$31M,$4M,$35M
89,Michael Porter Jr.,🏀,Denver Nuggets,,American,$31.9M,$2M,$33.9M
90,Orlando Brown Jr.,🏈,Cincinatti Bengals,,American,$33.7M,$100K,$33.8M
91,Gordon Hayward,🏀,Charlotte Hornets,,American,$30.2M,$3.5M,$33.7M
92,Stephen Strasburg,⚾,Washington Nationals,,American,$33.6M,$50K,$33.6M
93,Shai Gilgeous-Alexander,🏀,Oklahoma City Thunder,,Canadian,$31.5M,$2M,$33.5M
94,Bryce Harper,⚾,Philadelphia Phillies,,American,$26.2M,$7M,$33.2M
95,Kirk Cousins,🏈,Minnesota Vikings,,American,$30M,$3M,$33M
96,De'Aaron Fox,🏀,Sacramento Kings,,American,$30.9M,$2M,$32.9M
97,Miguel Cabrera,⚾,Detroit Tigers,,Venezuelan,$32M,$750K,$32.8M
98,Bam Adebayo,🏀,Miami Heat,,American,$31.2M,$1.5M,$32.7M
99,Giancarlo Stanton,⚾,New York Yankees,,American,$32M,$600K,$32.6M
100,Derek Carr,🏈,New Orleans Saints,,American,$30M,$2.5M,$32.5M
